,FIG4|9896,HERPUD2|64224,HNRNPD|3184,UBE2R2|54926,TYK2|7297,EXOSC10|5394,ZNF143|7702,ZMYND11|10771,HNRNPA2B1|3181,CCDC55|84081,RAB2B|84932,PEX11B|8799,NAIF1|203245,DCP1B|196513,KAT5|10524,SAR1A|56681,LUZP6|767558,SMAD4|4089,ABCF1|23,ZNF777|27153,HNRNPL|3191,COBRA1|25920,DAZAP2|9802,MEN1|4221,SNIP1|79753,SPPL3|121665,HNRNPK|3190,SAFB2|9667,RUNDC1|146923,BANP|54971,THAP6|152815,EIF4ENIF1|56478,SP2|6668,EIF3J|8669,TBP|6908,ANAPC2|29882,UVRAG|7405,ZNF566|84924,CELF1|10658,ECD|11319,CUL1|8454,MED17|9440,CEPT1|10390,IFT57|55081,GLT8D1|55830,QRICH1|54870,C9orf78|51759,UBAC2|337867,LIN7C|55327,FUBP3|8939,FAM160A2|84067,ZXDC|79364,C2orf3|6936,DDX1|1653,RER1|11079,SAFB|6294,FLII|2314,ZER1|10444,FAM149B1|317662,JOSD1|9929,GPN3|51184,DBR1|51163,ARHGEF9|23229,C17orf39|79018,ARHGAP17|55114,ADCK1|57143,MPPE1|65258,MAP3K7|6885,CETN3|1070,WSB2|55884,SURF6|6838,VPS29|51699,PITPNB|23760,HNRNPH3|3189,BBS2|583,COX15|1355,ACAD9|28976,EIF3L|51386,PRPSAP2|5636,MFAP1|4236,POT1|25913,FNTB|2342,MEGF8|1954,SNRNP48|154007,HECTD3|79654,SRPR|6734,ARHGEF5|7984,SLC24A1|9187,CTCF|10664,CSDE1|7812,MYNN|55892,SLAIN2|57606,MATR3|9782,NSMCE4A|54780,SNAPIN|23557,OS9|10956,VPS52|6293,GOSR1|9527,RARS2|57038,CNOT2|4848
1,6.37810690653815e-09,7.73156656110668e-09,1.17049859867711e-08,5.99657679551388e-09,8.90470807564264e-09,5.23301036945845e-09,9.20270503879657e-09,1.24461814339856e-08,7.33092855924275e-09,1.10457066110617e-08,8.40458969199481e-09,1.23507042923014e-08,1.08832951264141e-08,1.20504053732067e-08,2.49127641071554e-08,9.05698365955165e-09,1.80207438229109e-08,3.79643963684893e-09,7.67127756762458e-09,2.44401746377795e-08,1.64549754859391e-08,1.46095824276078e-08,2.66702853950345e-08,9.59867622150112e-09,9.60322887160849e-09,1.63019717583351e-08,1.19152468401685e-08,5.40131322617833e-09,3.94547118276014e-09,1.15147568063121e-08,1.39176090349404e-08,1.1613724954069e-08,1.03808842048133e-08,1.13684896743069e-08,1.19449345050632e-08,1.88939588586198e-08,7.82950114782294e-09,5.90319773662413e-09,1.58357919787999e-08,9.47255501248075e-09,1.77429547135007e-08,7.02132302981328e-09,2.0275124508471e-08,3.85638655685891e-09,1.37592785615336e-08,1.31166253074336e-08,2.64795250401438e-08,3.00080586632286e-09,9.86429795554922e-09,1.39378576594861e-08,8.38358753124607e-09,5.44659178247086e-09,4.75738956042868e-09,1.0723799834634e-08,1.71173419360368e-09,4.60285304232302e-09,2.26387367445241e-09,6.63967447574182e-09,6.51953690905074e-09,1.04988078318663e-08,4.44194560461722e-08,1.89022653480666e-08,2.78634447063315e-09,4.08209364269591e-09,8.39526871153389e-09,3.20951440780938e-08,7.61385384836535e-09,7.95489721553802e-09,1.07609481762566e-07,8.62916940082735e-09,1.66252171329568e-08,2.96269525336787e-08,1.38958590357242e-08,7.26764594849856e-09,1.23391033339295e-08,1.29622397970478e-09,1.99062944919473e-08,3.14438682219811e-08,7.16494261954795e-09,2.34391407917653e-08,7.40548531300857e-09,1.59792225182997e-08,6.55910021224385e-09,6.07116734086598e-09,3.53692173212715e-09,2.10144673497109e-08,1.36047467528875e-08,8.99043323090539e-09,1.02079462435414e-08,4.02731780281485e-09,1.69381008527637e-08,7.44508938235321e-09,1.00300505598629e-08,1.18973443236868e-08,1.44888808118863e-08,1.28426734379244e-08,6.0242925064332e-09,3.83722863701386e-09,9.4845761445988e-09,6.85438779233132e-09
2,4.74264752813601e-09,1.25012594783696e-08,1.12999374265093e-08,1.17442042941573e-09,1.59056820365666e-08,4.14241502076685e-09,5.5596229746926e-09,1.24428310688256e-08,3.95389373397959e-09,4.58656593538001e-09,6.7115251484649e-09,1.13472074672573e-08,1.49867684613181e-08,9.33483226048791e-09,3.41012321882511e-08,1.71107262886349e-08,3.3925558946456e-09,4.16313363185068e-09,5.40546096201981e-09,2.77901455371473e-08,1.43668681284067e-08,1.20107395009902e-08,1.31459609402316e-08,1.14346612533622e-08,9.64736083869122e-09,9.46669476965112e-09,2.40693802308222e-09,6.74321917391934e-09,3.51289871520851e-09,1.359790882717e-08,1.05302343474474e-08,1.1565543041054e-08,7.07436104665799e-09,4.46546204975832e-09,1.55069007811109e-08,6.48485118693522e-09,6.29291261942296e-09,3.73737095891829e-09,1.11897854493566e-08,8.9601435475421e-09,5.66477131951106e-09,4.83787936244746e-09,1.08428078694489e-08,1.40636547820089e-09,5.344699106592e-09,5.34922053753863e-09,3.20739696625979e-09,4.64195421836593e-09,1.00515468130188e-08,6.94945536312365e-09,8.71598273520198e-09,2.80592361973113e-09,2.60553496246666e-09,7.49723836648591e-09,6.17735221111382e-09,8.41846512937074e-09,3.2840673068804e-09,6.42460904368211e-09,1.01883587953345e-08,7.15373803095664e-09,6.33625723170344e-09,8.095761968873e-09,3.66648298240413e-09,3.90000812822221e-09,1.65515952979364e-08,3.79743523259847e-08,1.15541874987381e-08,2.75206101280986e-09,1.8452693484596e-08,7.03804160973667e-09,8.19555341265855e-09,1.26591251322185e-08,9.71336431830582e-09,4.66001230573292e-09,5.54148151414898e-09,2.12498804276031e-09,6.43505333881781e-09,1.93171434096687e-08,4.41017642458571e-09,1.352811563332e-08,2.46320845088677e-09,1.26931024208052e-08,1.52043045071738e-08,4.74460648486501e-09,9.91956169323082e-09,1.6821227009992e-08,9.77508291793993e-09,5.55798413856497e-09,8.15539133290501e-09,1.15284001546496e-09,5.47033668094815e-09,6.58028795513443e-09,2.50223418012723e-09,2.51124667442469e-08,1.41716895980942e-08,5.37556790993205e-09,5.2663681866291e-09,1.87547100024294e-09,6.65274107385419e-09,4.27834664838153e-09
3,4.24481646232665e-09,1.01363909839512e-08,1.29297074159338e-08,3.94492607985033e-09,1.07071127159381e-08,5.88959093281684e-09,4.77091917176624e-09,5.41739667325525e-09,6.27389762302104e-09,5.74911565454579e-09,4.87758066440736e-09,7.32482552131524e-09,2.32389673126093e-08,1.04621823299257e-08,1.30052378150674e-08,5.02144747892892e-09,5.25004787720663e-09,1.63250583435521e-09,4.45717441438969e-09,2.17912937471854e-08,1.59631017973553e-08,1.90473219040869e-08,1.70303308230684e-08,6.80916620169585e-09,7.54607095963652e-09,1.38506631000116e-08,8.9657684436361e-09,6.20739674664512e-09,3.14945479827215e-09,1.67421655190644e-08,1.07987865510864e-08,5.17557566037289e-09,6.50043255565008e-09,4.84483952558018e-09,1.16274674416264e-08,2.21015783386428e-08,3.23407483600966e-09,4.87374255388716e-09,8.86570628443728e-09,6.4711484381131e-09,8.91334600963358e-09,4.4862153276547e-09,2.44366190866105e-08,4.05022178207547e-09,1.59614832356025e-08,1.31377059878663e-08,2.78933101875987e-08,4.30002629364415e-09,3.95802434187591e-09,1.61029669511529e-08,4.25468839179989e-09,3.98990269155356e-09,7.2937083556771e-09,7.10297116425497e-09,3.95481099416763e-09,8.64049665515554e-09,2.1673737102355e-09,1.11107351529637e-08,3.13056119785406e-09,3.34541144315568e-09,2.34306453279202e-08,1.60448007084083e-08,2.57842509566323e-09,3.70104168734606e-09,7.09722714065933e-09,2.68928318910585e-08,6.84215935977105e-09,4.61224244822494e-09,5.20788453120378e-08,3.77814370698815e-09,1.98426427051694e-08,2.31990704778428e-08,3.88240587984602e-09,3.39887780273021e-09,7.62990445038817e-09,8.29620914359885e-10,1.5841173501168e-08,2.56246895268613e-08,2.43808879286608e-09,1.68458850843352e-08,5.53168709902042e-09,1.51139353887767e-08,1.18655517697132e-08,3.95132426271455e-09,2.68382393004058e-09,7.1256402972726e-09,7.19513482506073e-09,4.97909886132314e-09,1.05029767997032e-08,2.37820900547367e-09,8.68514036918547e-09,5.22800161209245e-09,5.04500486175738e-09,9.8733178289823e-09,1.00084123316975e-08,9.51182964188068e-09,4.68574546550582e-09,2.5525053281958e-09,6.00528102292276e-09,6.06082972967798e-09
4,2.49681316042369e-09,1.11848646188641e-08,1.00784183264318e-08,6.14892463032749e-09,9.24950341939284e-09,5.50434371340518e-09,7.19072117553493e-09,5.10385586679178e-09,5.41790812268654e-09,7.64280163492447e-09,8.92057754387389e-09,8.86221399319972e-09,1.98354695356759e-08,1.36556375785367e-08,2.89098709389386e-08,4.18978091419311e-09,6.81494366870643e-09,4.88586232218987e-09,4.05436076171348e-09,1.81160119505306e-08,1.52134527612318e-08,1.93301608900102e-08,1.76472668338728e-08,1.10964577650192e-08,1.08993708526475e-08,2.04598244472785e-08,9.76939455867955e-09,7.62976356110404e-09,3.35985356558277e-09,1.50416614782417e-08,1.25544271554906e-08,8.56653946180295e-09,9.53262920413514e-09,6.36075081575874e-09,1.22304342229815e-08,1.79395679987449e-08,7.03247664580014e-09,4.582137697482e-09,1.51177955048457e-08,8.0323053454147e-09,8.61056411529269e-09,1.11639012185223e-08,1.74126653182094e-08,2.31692213929246e-09,1.80004134236646e-08,1.23715079426834e-08,2.67874674740095e-08,6.56851953481355e-09,1.12423788913992e-08,2.37544267154872e-08,9.57917608513177e-09,5.44231717515802e-09,7.43361529262522e-09,4.89661461887972e-09,4.10878284793381e-09,7.66420584355011e-09,2.63579931566939e-09,1.06467114594853e-08,6.06289371186871e-09,1.12791617755429e-08,2.53466994480963e-08,1.81342258229388e-08,6.45404152200587e-09,4.54156070905761e-09,5.30093005235541e-09,3.53299045185579e-08,1.47803480404403e-08,8.51431997363011e-09,5.62735431829417e-08,1.30605046265775e-08,1.63380158778755e-08,1.88481633756624e-08,1.93314504109329e-08,4.01261178872774e-09,1.01101851226508e-08,1.68182907840821e-09,1.37467078987664e-08,2.371384994488e-08,2.65314104492939e-09,1.49896300264407e-08,6.94093355068749e-09,1.63932851260399e-08,8.44817847358345e-09,3.76344995258409e-09,1.91267239314937e-09,1.31552269490813e-08,1.16302183319617e-08,6.16902089875435e-09,8.12754364281257e-09,2.86525299421369e-09,1.55940401724208e-08,7.32526987140045e-09,7.02792809568627e-09,1.48241434633334e-08,1.60878555093484e-08,7.26518779162983e-09,5.20971441946633e-09,4.10166347371744e-09,9.48895394348151e-09,5.85916235999919e-09
5,6.00724291475812e-09,1.83821121289242e-08,2.41040059126458e-08,5.12648095667337e-09,1.30375264344408e-08,1.10134549555525e-08,1.62036326567008e-08,1.19210038948232e-08,9.47381973934089e-09,1.11321296661193e-08,1.13184453321019e-08,1.54154873941267e-08,1.7378987834084e-08,1.55536174577573e-08,2.48728299550422e-08,1.01897848424081e-08,1.11611061816965e-08,5.54878707519778e-09,6.71537510528932e-09,1.22036819526889e-08,2.34397443465353e-08,1.39690619045928e-08,3.16498459460753e-08,1.10949493752503e-08,9.53434530024399e-09,1.13472179969492e-08,1.27733227750508e-08,7.80776818854073e-09,6.33412538187729e-09,1.1961386866234e-08,2.37528772006243e-08,5.43141802135266e-09,1.23389621603708e-08,1.22673101817792e-08,1.6388129072699e-08,1.39522517034167e-08,1.28238415347125e-08,6.93059379686853e-09,1.23088890572177e-08,1.47295499848595e-08,1.43987969370097e-08,7.44575417452934e-09,2.4119633495666e-08,6.37633898173179e-09,1.89199064582893e-08,1.25884959036368e-08,4.00624738902429e-08,3.46608898399681e-09,1.22747237142411e-08,9.62308533751524e-09,4.7921519550091e-09,5.07142403593903e-09,1.52622379770905e-08,9.90119239307231e-09,4.18222132490347e-09,7.97697961309628e-09,3.09405652083027e-09,6.18465538105006e-09,9.404485628407e-09,4.0421110646828e-09,6.39638161018144e-08,2.01295515014767e-08,4.86613028202497e-09,2.12636560803839e-09,2.59743662867456e-10,2.32182056203575e-08,4.68722694565839e-09,8.62528949365797e-09,6.96434224756763e-08,9.59516560653091e-09,1.04306544298852e-08,3.83859300948879e-08,1.4035045660319e-08,8.69815920991185e-09,4.92659220663901e-09,2.09473377867621e-09,1.37371298758558e-08,2.75252192908394e-08,1.14522275594685e-08,1.95128635918866e-08,1.3028117590222e-08,9.36095846299101e-09,6.41064501807933e-09,8.38003330147084e-09,3.77708184449036e-09,8.17561176679699e-09,1.28626653111318e-08,7.87869256505583e-09,5.76241439672162e-09,6.55876671237993e-09,3.2275956723357e-08,1.20595996477191e-08,1.35203661017792e-08,2.88834148742744e-08,7.0246418600809e-09,1.33517726454641e-08,6.14388932269268e-09,4.72868722697535e-09,1.9499183312348e-08,1.02866347187517e-08
6,4.6921090459394e-09,1.12083410790551e-08,1.03581335001315e-08,4.41461371339071e-09,1.02249325738291e-08,4.52173139151788e-09,6.81166055164941e-09,9.17471993497259e-09,6.37257207420984e-09,5.61013566225397e-09,7.08347415322389e-09,1.04922255843454e-08,1.57879483724165e-08,1.06082318441272e-08,2.23773553526234e-08,7.51664211465487e-09,9.24630664618947e-09,3.96519779006277e-09,4.21810520745035e-09,1.69561269559084e-08,1.20917712244451e-08,1.72019328611477e-08,2.00302803499919e-08,8.81720442616515e-09,6.1766083857912e-09,1.06731974695295e-08,8.56480478921507e-09,5.99544866028143e-09,3.03333273731119e-09,9.56223169868899e-09,1.14283560203418e-08,6.29458494398738e-09,8.02540235851739e-09,6.81658720822211e-09,1.22076486989564e-08,1.43123196178877e-08,6.91846379253374e-09,4.56131825313431e-09,1.4127763982235e-08,7.17257700499365e-09,7.45902903220725e-09,9.00305356300179e-09,1.89160315817298e-08,5.23947806247801e-09,1.45772647834983e-08,1.27278572014349e-08,2.08456453951827e-08,3.59351277701343e-09,7.78007089033342e-09,1.85557823913903e-08,7.36108129032265e-09,4.78909266915646e-09,8.28670071722708e-09,5.94340751425442e-09,3.88423980138777e-09,7.31435045170292e-09,2.09412758844788e-09,1.02467530523267e-08,6.65439109129981e-09,4.98860575164507e-09,2.97572261431491e-08,1.5939868752752e-08,2.79445705908017e-09,3.31724847530631e-09,7.89549378666864e-09,2.80843421709142e-08,1.53041344124039e-08,6.86989923451817e-09,5.45351064174978e-08,8.06092178226054e-09,1.55598648952783e-08,2.34892471645031e-08,7.31724862773578e-09,4.3656139992221e-09,8.08297166906806e-09,1.16127599409791e-09,1.40257518731857e-08,2.23117654791617e-08,4.32128205962431e-09,1.72476772305704e-08,6.16440133558912e-09,1.64419579309306e-08,9.47340175246557e-09,4.31298272404819e-09,2.10300798611699e-09,1.55020779180441e-08,6.68700522540574e-09,6.113111736763e-09,9.02650817306343e-09,3.08275905135085e-09,1.19827358784986e-08,7.04454416828189e-09,6.57315704426919e-09,1.33020760284335e-08,9.69324763147051e-09,9.33865360205688e-09,3.97150161676143e-09,4.00959585443731e-09,9.64412423448812e-09,5.36810383433119e-09
7,7.25831451638128e-09,2.20465734804134e-08,1.65705546834369e-08,1.12758569264552e-08,1.26688499861151e-08,7.34209562750436e-09,1.93146140711253e-08,2.73450726902765e-08,1.01625369712739e-08,1.33490673989638e-08,1.1958790692248e-08,1.9905650466378e-08,2.00491351329928e-08,4.79803716048907e-09,4.34963840202645e-08,1.71326988029269e-08,2.01023332760973e-08,8.1298593069845e-09,8.33668473636444e-09,1.20068001321523e-08,2.53963343132583e-08,1.93697514938976e-08,4.1713341363584e-08,1.54297065082198e-08,1.00967965400649e-08,1.09665253630521e-08,1.69063582569085e-08,1.10352180270245e-08,6.02722488528912e-09,1.82783840477438e-08,3.22831346006013e-08,1.19703190694036e-08,1.26620426971801e-08,1.64287685357706e-08,2.08742048746971e-08,1.76969067621804e-08,1.20740284444896e-08,4.66994691279053e-09,1.96572768417298e-08,1.52342824647009e-08,6.76373974085804e-09,1.34236445057124e-08,1.96536491357806e-08,4.05564327995202e-09,7.05904142516908e-09,2.82585354198238e-08,3.20748476765006e-08,6.86891949572228e-09,2.13254789474353e-08,1.78695744906228e-08,1.17233100225933e-08,5.85847139107072e-09,1.94547480099703e-08,1.71631177262482e-08,6.25960578765989e-09,8.96985874292097e-09,3.05006778377477e-09,1.10401326162784e-08,1.65875165609137e-08,3.96048155679488e-09,5.48473311653299e-08,1.93080065233632e-08,8.30495372048652e-09,6.46117399225688e-09,1.22969480183084e-08,5.41342020925885e-08,1.14555669315307e-08,1.90099108843763e-08,9.35405917699279e-08,1.74740659710244e-08,1.83797507627067e-08,3.96474357650163e-08,8.52268568687836e-09,1.04571403611999e-08,1.37725493952486e-08,3.061392794986e-09,1.94708335698874e-08,3.35504469309472e-08,2.14495726452944e-08,1.9189352608724e-08,1.60109810427618e-08,1.55419073296803e-08,1.04184218896038e-08,1.03456127551847e-08,8.61913067604492e-09,2.7815668961337e-08,4.06193932863401e-09,5.78179840826519e-08,1.65764187454061e-08,7.0907714457057e-09,2.48713342845395e-08,1.72598521890167e-08,1.46317065500246e-08,2.08819715610079e-08,2.29049091358162e-08,1.34361273690559e-08,1.17705190047576e-08,6.49618017605999e-09,1.40206522617042e-08,1.30009466537767e-08
8,1.8678022977537e-08,1.65223356128766e-08,1.04953545924387e-08,7.30225573431499e-10,6.83233407948906e-09,5.57982102137656e-09,8.90185359969111e-09,1.07247157316763e-08,8.06692375836571e-09,1.91441247192457e-08,6.50717039769504e-09,2.87042109232198e-08,1.34436274811883e-08,1.63537014479745e-08,2.02832632229749e-08,6.0354384218141e-09,1.32436781485212e-08,3.29483460783324e-09,1.25416191878078e-08,1.60830172899069e-08,1.27021267699472e-08,5.59148476420076e-09,2.34323329441597e-08,8.5231208369633e-09,5.19173775610862e-09,1.22411610644049e-08,8.48921131974509e-09,5.56532629512262e-09,1.023424016664e-08,1.18809741124851e-08,1.88254955885741e-08,9.25172251863539e-09,1.46094079820975e-08,9.70345212030821e-09,2.3178039929017e-08,6.33187589255551e-09,1.29751301447844e-08,5.42373340714423e-09,9.741805501148e-09,1.23108720742584e-08,1.74663012796515e-08,8.89268958555461e-09,1.27959133108685e-08,8.36228331455432e-09,1.71839684733459e-08,1.15969220338225e-08,7.28511716973205e-09,3.24359483794356e-09,8.28557779992118e-09,1.0786876669302e-08,6.93272454443271e-09,3.158566706485e-09,2.49003759161881e-08,2.1428409574018e-08,1.50795767427039e-09,7.00675090221762e-09,4.70980444482349e-09,2.95178697878247e-09,1.0007753040327e-08,2.70066005773919e-09,4.11803350313607e-08,1.78485827563875e-08,7.61060763882774e-09,6.49264648669631e-09,1.03172056528963e-08,2.01795763071668e-08,2.01644752876872e-08,1.90305926977962e-08,4.28734960843013e-08,8.36848555212109e-09,5.90674788308601e-09,4.41396655777392e-08,1.42710859968306e-08,6.19599972549173e-09,1.21648818657041e-08,1.52510012967196e-09,1.7379567374288e-08,2.8426558533988e-08,1.01088767466765e-08,1.62969362303983e-08,1.75505968774753e-08,7.3097792701807e-09,8.98098887059383e-09,7.91021611486741e-09,8.90653176611374e-10,1.73903103840787e-08,9.78106938275134e-09,1.43793917039112e-08,7.79317611017007e-09,4.83849837449597e-09,1.65162418164507e-08,7.90508746516481e-09,1.0732158177891e-08,1.43126259219773e-08,2.37346991213268e-08,1.61652937813492e-08,1.07789045885688e-08,7.75386903007829e-09,2.86209142109859e-08,9.95196250275121e-09
9,1.69945102773955e-08,9.6938701362277e-09,1.07264812282506e-08,4.27215996278328e-09,5.46652902734868e-09,1.16391604256079e-08,9.17140420162726e-09,1.52804979108337e-08,6.27524293819794e-09,1.75625913407802e-08,1.24072766103707e-08,2.15092658726955e-08,1.49645659034958e-08,1.55493830949948e-08,2.14704320937271e-08,1.19824035984017e-08,5.27987612847156e-09,3.48901742831152e-09,1.02795955377381e-08,1.5698857969157e-08,1.34311628806812e-08,1.03910626998678e-08,1.8798804292138e-08,7.70952881811826e-09,1.13629210706845e-08,3.57992389312039e-09,1.01055236119774e-08,9.10635074213958e-09,8.73712848355598e-09,1.12346969544611e-08,1.26107822448068e-08,7.32559618012843e-09,1.51846807583172e-08,1.8785271717137e-08,2.75040149383449e-08,9.4004371467392e-09,1.26924598370184e-08,6.10369483616402e-09,1.60794765138309e-08,2.46886711793653e-08,6.64901866660981e-09,9.83530768036116e-09,1.82289048103157e-08,8.79038595118341e-09,8.96505493659332e-09,9.08666376848635e-09,1.20206552372126e-08,8.31803846114513e-09,8.381772111376e-09,9.8290954661565e-09,6.10605798218577e-09,7.93061184855879e-09,9.61824296907838e-09,1.47328145695545e-08,4.65894222428654e-09,8.26083492026489e-09,5.61417977470276e-09,5.03517298272846e-09,1.36346415214702e-08,8.45523584865262e-09,2.24532404354194e-08,1.26364196841353e-08,8.8482539095055e-09,8.92958925919323e-09,8.54384996122356e-09,1.30551336207674e-08,9.5313656383755e-09,1.32262960642245e-08,4.27140617249552e-08,1.50465309949104e-08,1.03024941081898e-08,2.4930928217643e-08,8.62431684114852e-09,1.1368581953228e-08,1.83648934604198e-08,3.36911434169239e-09,1.61451518196896e-08,1.05129635075193e-08,1.18269538323221e-08,1.19198728530109e-08,6.71631514318383e-09,7.26994067785804e-09,2.57298419981163e-09,5.37400124895535e-09,6.06660812514883e-09,1.25663331451538e-08,1.23839179008396e-08,7.05547467085853e-09,1.02962009599918e-08,1.17070241251919e-08,1.94084409922546e-08,8.61517999073828e-09,8.06439619561062e-09,3.48381560808411e-08,3.37048171188987e-08,7.56747713949682e-09,1.04255251509027e-08,7.28732934549434e-09,1.98498889036558e-08,6.46466852415767e-09
10,1.88097634904496e-08,7.9925331227634e-09,5.92732647234492e-09,3.03004456181212e-09,4.68177152145897e-09,1.07228511878489e-08,8.24710719967524e-09,1.18384957987688e-08,5.91217941087566e-09,8.15561660573992e-09,8.55182031689731e-09,1.17806477474727e-08,7.45580778874767e-09,5.39581261611515e-09,1.56513316410238e-08,8.40513175899619e-09,6.44506129574945e-09,2.45351914474022e-09,8.95048800648711e-09,6.77723977226633e-09,1.15520843652678e-08,8.77025443876534e-09,1.46823883266679e-08,5.49102829243117e-09,6.77199308004314e-09,5.96244676375136e-09,6.53398599273778e-09,3.10191359099402e-09,3.64299402415766e-09,8.88452645232397e-09,7.2838165948769e-09,2.79549552573313e-09,9.71616360645778e-09,5.44573918448952e-09,1.72505784168594e-08,4.66316143354914e-09,6.26953352670922e-09,1.9334916547002e-09,1.07449957870163e-08,1.65594674440925e-08,5.47100906895895e-09,8.75887213980006e-09,1.70340732272976e-08,3.68792939892777e-09,6.41388953966022e-09,7.0215268184707e-09,5.60742939111666e-09,3.89828168352315e-09,3.36758999060682e-09,9.90403277210479e-09,5.57515367206686e-09,2.86707789540701e-09,9.66155683141896e-09,1.67138019556358e-08,4.47752287588028e-09,5.3222741982806e-09,8.24724113600193e-09,6.10025004993964e-09,1.30505480194593e-08,3.76906189114884e-09,1.36936996723903e-08,8.86871600098677e-09,1.12142274640499e-09,5.97351370886177e-09,2.82064099665045e-09,1.04434813299302e-08,6.92903517829018e-09,9.83505637964177e-09,4.34801112531747e-08,1.13948191818689e-08,4.86165839666237e-09,1.49444124679175e-08,7.3850335474427e-09,3.70387643404218e-09,1.23555444827418e-08,1.61884382608171e-09,7.01591823595904e-09,1.29392758832469e-08,7.13147147012812e-09,6.24862615276758e-09,6.8593466371422e-09,2.97459592289775e-09,5.40548451727607e-09,2.04850920873471e-09,6.27659849769144e-09,1.19014743630948e-08,6.54947097120545e-09,5.46081413678883e-09,4.27102720781713e-09,7.81383360386318e-09,1.06175608607266e-08,7.49517593377817e-09,6.49408298618431e-09,1.68168141652841e-08,1.55977460714101e-08,4.92594689625337e-09,9.01646629018511e-09,3.12040217422224e-09,2.97374704228481e-08,4.6343284765612e-09
