,AT1G01040,AT1G01450,AT1G07025,AT1G14688,AT1G21230,AT1G35500,AT1G61190,AT1G66490,AT1G70040,AT2G18530,AT2G21070,AT2G27380,AT2G31141,AT2G34320,AT2G36710,AT2G44735,AT3G11310,AT3G20480,AT3G21990,AT3G25090,AT3G26395,AT3G30720,AT3G43750,AT3G45140,AT4G01435,AT4G03050,AT4G07965,AT4G08990,AT4G14140,AT4G15050,AT4G15975,AT4G22050,AT4G31640,AT4G32105,AT5G06811,AT5G07310,AT5G12090,AT5G14760,AT5G22190,AT5G25320,AT5G25370,AT5G27890,AT5G28660,AT5G35760,AT5G38940,AT5G39100,AT5G43755,AT5G54030,AT5G55800,AT5G56920,AT1G14688,AT1G22015,AT1G23130,AT1G27550,AT1G29410,AT1G35610,AT1G35860,AT1G43680,AT1G69940,AT2G07220,AT2G18530,AT2G24760,AT2G27380,AT2G31150,AT2G34100,AT2G34320,AT2G44735,AT3G05410,AT3G17480,AT3G22710,AT3G25460,AT3G26800,AT3G29150,AT3G29634,AT3G43690,AT3G44235,AT3G45200,AT3G49230,AT3G52510,AT3G55860,AT4G00130,AT4G08535,AT4G08990,AT4G29200,AT4G29654,AT4G32110,AT4G32208,AT5G02700,AT5G12090,AT5G24480,AT5G26970,AT5G27800,AT5G35760,AT5G38940,AT5G42430,AT5G55800,AT5G56920,AT5G57670,AT5G60560,AT5G64685,AT1G03106,AT1G11460,AT1G11593,AT1G14688,AT1G15010,AT1G18310,AT1G22010,AT1G27550,AT1G29410,AT1G31163,AT1G34580,AT1G35610,AT1G47280,AT1G49500,AT1G49700,AT1G54950,AT1G62540,AT1G65681,AT1G70270,AT2G02650,AT2G07020,AT2G08986,AT2G14755,AT2G16676,AT2G18480,AT2G24870,AT2G29605,AT2G31141,AT2G31150,AT2G34320,AT2G34655,AT2G44735,AT2G46190,AT3G04180,AT3G43750,AT3G55860,AT3G57110,AT4G08535,AT4G08870,AT4G15440,AT4G18110,AT4G24770,AT4G29200,AT5G12090,AT5G36180,AT5G39620,AT5G43755,AT5G45570,AT5G52070,AT5G56920
108,0.516692667706708,0.561320754716981,0.938144329896907,0,0.186490455212922,0.966517857142857,0.0136186770428016,0.0285714285714286,0,0.777777777777778,0.108851674641148,0.743405275779377,0,0,0.806532663316583,0.0437109723461195,0.819364161849711,0.0076923076923076,0.0238805970149254,0.0857142857142857,0,0.673748056739633,0.166265060240964,0.0504885993485342,0.912087912087912,0.0142487046632124,0.952702702702703,0.578672242550967,0.573453608247423,0.0613636363636364,0.783333333333333,0.0074626865671641,0,0,0.177238805970149,0.289351851851852,0.864864864864865,0.468282252316465,0,0.550078247261346,0.227231740306582,0.558615961819189,0.00920245398773,0.467226890756303,0.739130434782609,0.0240963855421687,0.912371134020619,0.015929203539823,0.224368499257058,0,0,0,0.0163934426229508,0.20338534955259,0,0.296703296703297,0.375404530744337,0.263038548752834,0,0.451048951048951,0.315068493150685,0.490727532097004,0.477521263669502,0,0.395851528384279,0,0.0016570008285004,0.506254786826653,0,0,0,0,0,0.348877374784111,0.526347305389222,0.0064935064935064,0.410714285714286,0.353846153846154,0,0.516211329577565,0.488847583643123,0,0.234998064266357,0.33350009419718,0.370860927152318,0,0,0.563035495716034,0.557046979865772,0.36340206185567,0.334269662921348,0.343692870201097,0.125356125356125,0.256613756613757,0,0.055699481865285,0,0,0,0.0405729554748152,0,0,0.0402075226977951,0,0.0118782479584261,0,0,0.0295851472084987,0,0.0402843601895735,0.0486220472440945,0.0287343215507412,0.0102127659574468,0.0744119059049448,0,0.114239181014425,0.0457809694793537,0.0219322568274861,0,0,0.0392646796359093,0.0520644058648916,0.107952362658471,0.192149703331812,0.0468358956024312,0.067109634551495,0.0548662806727323,0,0,0,0.0556844547563805,0,0.0490081680280047,0,0,0.0968263382551411,0,0,0.0177181208053691,0.0061508578828099,0.0037037037037037,0.0352267723469837,0.0667865701523088,0.0925164473684211,0.02890911994889,0,0.204395604395604,0.0968229954614221,0.0246857660514098,0
159,0.522456461961503,0.117296222664016,0,0.0199501246882793,0.214665249734325,0.925925925925926,0.0050933786078098,0,0.556666666666667,0.847457627118644,0.205586592178771,0.66711590296496,0,0,0.819070904645477,0.0480928689883914,0.810580204778157,0.0694444444444444,0,0.607196401799101,0,0.89568345323741,0.262474998752851,0.24792817679558,0.925989672977625,0.0026420079260237,0.848485168502238,0.624488124488125,0.541484716157205,0.806706114398422,0.485064011379801,0.348101265822785,0,0,0.269931662870159,0,0.937677053824363,0.394800483675937,0,0.375950241879751,0.395677106307896,0.613676731793961,0.0107238605898123,0.259943181818182,0.623529411764706,0.627145085803432,0.912639405204461,0.592409240924092,0.628635346756152,0,0,0,0.0084745762711864,0,0,0.321110009910803,0.389312977099237,0.428015564202335,0.39697950377562,0.435590969455511,0.380952380952381,0.46526508226691,0.380787836903939,0,0.426044160681032,0,0,0.522594468250877,0,0.005524861878453,0.258160237388724,0.211538461538462,0,0.232505643340858,0.0245231607629428,0.264583333333333,0.251716247139588,0.722814498933902,0.0994897959183673,0.641955835962145,0.469015795868773,0,0.249483318571007,0.544715447154472,0.442906574394464,0,0,0.0025284450063211,0.712090163934426,0.438330170777989,0.483412322274882,0.318181818181818,0,0.0830618892508143,0,0.460954446854664,0,0.218001651527663,0,0,0,0,0.133173843700159,0,0.150528169014085,0.0392262224610425,0,0,0,0.0010834236186348,0.0152560083594566,0.0301698301698302,0.0590298071303331,0.315719947159841,0.0975725844835792,0.1691597008359,0.0177346890517853,0.12205754141238,0.0477346278317152,0,0.0377279688152583,0.0507988529291274,0.168646080760095,0.180760928856082,0.0113600504891133,0.140381282495667,0.0804011838211115,0.0014275517487508,0,0,0.139378238341969,0,0.073474001507159,0,0.0058373669780102,0.120358910891089,0,0.0004547521600727,0.0372340425531915,0.0678466076696165,0.0541546093427036,0.0904119577105359,0.0862321493958257,0.283009466865969,0.0395624854549686,0.0079734219269103,0.103128621089224,0.106041740697648,0.0445765230312036,0
265,0.549277605779154,0.298538622129436,0.934883720930233,0.8328173374613,0.0427927927927928,0.946,0,0,0,0.0210896309314587,0.0221285563751317,0.578125,0,0,0.701943844492441,0.034608378870674,0.28998699609883,0.0923295454545455,0.0037453183520599,0.0206185567010309,0,0.816155988857939,0,0.0184921763869132,0.933227344992051,0,0.924315619967794,0.849214943151056,0.689789123196448,0.179521276595745,0,0.115730337078652,0,0,0.091044776119403,0.175644028103044,0.93646408839779,0.165512901195721,0.0185185185185185,0.135507246376812,0.387066974595843,0.91505376344086,0.0574468085106383,0.38034188034188,0.659154929577465,0.786111111111111,0.331914893617021,0.690625,0,0,0.785234899328859,0,0.0471380471380471,0.649930264993027,0.578199052132701,0,0.473365617433414,0,0.522404371584699,0.521381578947368,0,0,0.386897404202719,0,0.40499457111835,0,0,0,0,0.0819209039548023,0,0.51006711409396,0.63265306122449,0.473548387096774,0.280386106720397,0.52,0.562347188264059,0.266763848396501,0,0.669394435351882,0.655948553054662,0,0.470535554361454,0,0.444201312910284,0,0,0.0273722627737226,0.796551724137931,0.46875,0,0.409698996655518,0.0447154471544715,0.161554192229039,0.645107794361526,0,0,0.0014084507042253,0.278242677824268,0.0375586854460094,0.0316188870151771,0.0269323003135953,0.0656092285508291,0.205411084843709,0.0491452991452991,0.0914400805639476,0,0.0298403886190146,0.100056106227791,0.214029273681304,0.0337776431384429,0,0.001953125,0.0360496819145713,0,0.0785151428842685,0.0091890315052508,0.0674324611784727,0,0.0009484666455896,0.0782741504390989,0.0514970988459998,0.0908041554444017,0.205549845837616,0.0758055995773904,0.0889440113394755,0.0810810810810811,0,0,0,0.113456464379947,0,0.0914402570844289,0,0,0.127060830017055,0,0,0.0437564856451055,0.0943472409152086,0.0898550724637681,0.0344987803461494,0,0.279854147675479,0.0509062430073842,0.057454754380925,0.0383673469387755,0.131489071038251,0.0183055620746304,0
350,0.601696668735775,0.38423645320197,0.968842729970326,0.0218068535825545,0.894773519163763,0.934554973821989,0.0488888888888889,0,0.781176470588235,0.865930599369085,0.17743830787309,0.699339207048458,0.267712719085525,0,0.782296650717703,0.0175718849840256,0.826955074875208,0.2265625,0,0.116487455197133,0,0.906344410876133,0.104255319148936,0.633905013192612,0.901176470588235,0,0.92687559354226,0.154518950437318,0.755671902268761,0.86734693877551,0.0157894736842105,0.393111638954869,0,0.0039138943248532,0.210106382978723,0.413875598086124,0.94441446303292,0.198679471788715,0,0.705607476635514,0.378496503496503,0.558615961819189,0.0227920227920228,0.214088397790055,0.714859437751004,0.851376146788991,0.934900542495479,0.803212851405622,0.861248761149653,0,0,0,0.553097345132743,0.0161812297734628,0,0,0.538219895287958,0.697792869269949,0.692836113837095,0.564088397790055,0.412698412698413,0.651128914785142,0.49708963911525,0,0.445287107258938,0,0,0.0724174653887114,0,0.106145251396648,0.727138643067847,0.519582245430809,0.644171779141104,0.461538461538462,0.147228637413395,0,0.509433962264151,0.665191740412979,0.101204819277108,0.734207389749702,0.641284403669725,0,0.0373686259244842,0.66016713091922,0.590621039290241,0,0,0.590372388737511,0.719245283018868,0.474193548387097,0.513868613138686,0.471496437054632,0,0.247508305647841,0.659488559892328,0.62202852614897,0,0,0.0373626373626374,0.425093632958801,0,0.0105996522816024,0.131647776809067,0.0008113590263691,0.0361757105943152,0.0281263522284725,0.0015428183204783,0,0,0.239965347964193,0.0162619254119688,0,0.0240793201133144,0.080558779053007,0,0.1515517936316,0.135060129509713,0.090291650019976,0.0131205705151008,0.103126458236118,0,0.0860205032618826,0.0463072006416203,0.24232301169215,0.0792488860598345,0.1318359375,0.12248743718593,0.0267898755427284,0,0,0.18961937716263,0,0.0861290322580645,0,0,0.170542635658915,0,0,0,0.0064871878040869,0.0544083906915765,0.0765133171912833,0.117069486404834,0.0947835738068812,0.0678225395206527,0.0159801136363636,0.137396694214876,0.135499693439608,0.159324189299664,0
351,0.677400119260584,0.319880418535127,0.959761549925484,0.083495145631068,0.251712328767123,0.938622754491018,0.0021953896816685,0.108135942327497,0.632675438596491,0.847977684797768,0.237323943661972,0.800965018094089,0.878003696857671,0,0.676950998185118,0.0313053750738334,0.841391009329941,0.0075431034482758,0.914893617021277,0.763824884792627,0.468546637744035,0.942363112391931,0.262474998752851,0.588265048052605,0.219626168224299,0.003584229390681,0.949473684210526,0.556437694166379,0.549426138467234,0.894436519258203,0.51949860724234,0.0369477911646586,0.0787083753784057,0,0.0429009193054137,0.279365079365079,0.920991479473277,0.384834123222749,0.0822622107969152,0.228555917480999,0.356993736951983,0.755637367694432,0.0392156862745098,0.57103825136612,0.823104693140794,0.825757575757576,0.929347826086957,0.827433628318584,0.0691299165673421,0,0,0,0.0076335877862595,0.138157894736842,0,0.395104895104895,0.500883392226148,0.456032719836401,0.644599303135889,0.51545842217484,0.437137330754352,0.595431098010317,0.539516655780536,0.684420289855072,0.433045034297644,0,0,0.364572047670639,0.0392156862745098,0.175355450236967,0.465045592705167,0,0,0.466666666666667,0.280386106720397,0.59946949602122,0.565905096660808,0.387788778877888,0,0.570361145703611,0,0.0029455081001472,0.292728989612842,0.505714285714286,0.498648648648649,0,0.0240384615384615,0.621022179363549,0.703321878579611,0.431740614334471,0.438144329896907,0.446009389671362,0.12396694214876,0.303672316384181,0,0,0,0.387935805201992,0.0396825396825397,0,0,0.0013123359580052,0.111111111111111,0,0.0130624092888244,0.0322626492325185,0,0.0100193355598523,0,0.19954705586311,0.0064577098755709,0.0396541443053071,0.0073882526782416,0.0284306292645944,0,0.141309394830522,0.105387065503393,0.0155479711793705,0,0.0038896091868864,0.100893997445722,0.0670582761428405,0.0079462102689486,0.214240305149396,0.0534497444633731,0.171361502347418,0.121499548328817,0.126397248495271,0.113367609254499,0,0.178140525195174,0,0.0891148325358852,0.0033407572383073,0.0058373669780102,0.125406409660938,0.264513561153124,0,0.0174235403151066,0.0819070904645477,0.046180405697022,0.0663138932672821,0.0938960280373832,0.256230529595016,0.047422071206973,0,0.0617367706919946,0.143149982917663,0.181500513874615,0
403,0.594473311289561,0.33210332103321,0.850574712643678,0.0482758620689655,0.750631844987363,0.885869565217391,0.0120663650075415,0.0646492434662999,0.5640625,0.79320987654321,0.349703640982218,0.693032015065913,0,0,0.688524590163934,0.0764832022873481,0.111468381564845,0.121978021978022,0,0.170854271356784,0.364583333333333,0.834375,0.33048433048433,0.41779497098646,0.0429447852760736,0.72703313253012,0.901492537313433,0.353170731707317,0.545965270684372,0.187341772151899,0,0.173056994818653,0.50451467268623,0.529411764705882,0.162162162162162,0.129597197898424,0.849809885931559,0.307736389684814,0,0.194410692588092,0.246961805555556,0.630379746835443,0.0717948717948718,0.870801033591731,0.0622837370242214,0.700460829493088,0.131182795698925,0.655259822560203,0,0.0053619302949061,0,0,0.394444444444444,0,0,0.10894495412844,0.351116625310174,0,0.486803519061584,0.286403861625101,0.302564102564103,0,0.350336862367661,0,0.201720557698012,0,0,0,0.0070257611241217,0.112860892388451,0.552980132450331,0.218855218855219,0,0.251861042183623,0,0.375745526838966,0.396355353075171,0,0,0.501243781094527,0,0,0.0425888665325285,0.412249705535925,0.392156862745098,0.244444444444444,0.345794392523364,0,0.53598971722365,0.404411764705882,0,0.261447562776957,0.27906976744186,0,0.430927835051546,0,0,0.209541062801932,0.0394736842105263,0.112456747404844,0,0,0.0880557977332171,0,0.0136476426799007,0.0183393792825474,0,0,0,0.126355611601513,0.007643686608849,0.0034246575342465,0,0.103421052631579,0,0.0604244694132335,0.013986013986014,0,0,0,0.0446149843912591,0.0236789603933411,0.0463072006416203,0.134966489484631,0.102102102102102,0.035423647678315,0.032015065913371,0,0,0,0.105349794238683,0,0.0272309711286089,0.0800615858352579,0,0.0707906774123285,0.0616689591930307,0,0.0224347186465612,0.0220380818053597,0.0643210555250137,0.0310264934018334,0.0545327020866211,0.0409026798307475,0.0250911904498729,0.0015852047556142,0,0.106041740697648,0.0388593155893536,0
410,0.626908720732949,0.50207468879668,0.946927374301676,0.0230263157894737,0.853347502656748,0.922734026745914,0.0536312849162011,0.0431328036322361,0.625136612021858,0.806192660550459,0.121176470588235,0.69438877755511,0,0,0.768606224627876,0.0518453427065026,0.105745212323064,0.319266055045872,0,0.866189989785495,0.0026525198938992,0.869179600886918,0.170678336980306,0.504212299915754,0.124643196955281,0.0060934326337169,0.923454367026497,0.0395629238884702,0.0503121557106133,0.925297113752122,0.537914691943128,0.276114437791085,0.066951566951567,0.042198233562316,0.118150684931507,0.0079365079365079,0.931788079470199,0.361850184199754,0.238244514106583,0.638655462184874,0.420672321709079,0.636406844106464,0.0462351387054161,0.487214927436075,0.432270916334661,0.0191780821917808,0.252941176470588,0.0646094503375121,0,0,0,0,0.0091407678244972,0,0,0.270833333333333,0.476537216828479,0,0.475386779184248,0.3671875,0.295190713101161,0,0.459989934574736,0,0.299417568049447,0,0,0.0013413816230717,0.0402476780185759,0.178010471204188,0.662544169611307,0.197802197802198,0,0.252631578947368,0.455089820359281,0.432534678436318,0.331428571428571,0.0043383947939262,0.0313630880579011,0.617493472584856,0,0,0,0.448831587429492,0.390428211586902,0,0.0577850486126851,0.55952380952381,0.590616375344986,0.4375,0,0,0.101149425287356,0.0492264416315049,0.388077858880779,0,0,0.226774847870183,0.0305343511450382,0.099290780141844,0,0.0143496374016355,0.0667701863354037,0,0.0089955022488755,0.0339771101573677,0,0,0,0.239817629179331,0.0185210973402033,0.0295347952845735,0.0060240963855421,0.113627006998765,0.0286458333333333,0.0792792792792793,0.0915647030224455,0.0378890392422192,0,0.0266893810335037,0.0468799829913894,0.0493790690011703,0.0463072006416203,0.210593041273419,0.114945580037165,0.110832811521603,0.0719163763066202,0,0,0,0.154595252586732,0,0.0602169581580695,0.096513249651325,0.000793860809738,0.124575311438279,0.0006762849413886,0,0.0175900049317771,0.0782196205086799,0.0600660066006601,0.0292036118116001,0.0807013469577334,0.0679611650485437,0.0353229762878168,0.0045542126466982,0.0344827586206897,0.116562592922985,0.0019127316198445,0
424,0.657534246575342,0.470264317180617,0.245033112582781,0,0.236363636363636,0.961493582263711,0.0544747081712062,0.190560997328584,0.639060568603214,0.759856630824373,0.216107382550336,0.787211740041929,0.957251908396947,0,0.834042553191489,0.0444770283479961,0.508934953538242,0.266990291262136,0.0217076700434153,0.794616151545364,0.0513059701492537,0.673748056739633,0.325942350332594,0.53114872164206,0.0048622366288492,0.780026990553306,0.868756121449559,0.0835492227979275,0.100995208256543,0.84936170212766,0.0022346368715083,0.181518151815182,0,0.657142857142857,0.177391304347826,0.338516746411483,0.0748387096774194,0.400078369905956,0,0.346107784431138,0.338751814223512,0.694209499024073,0.056786703601108,0.436332767402377,0.591412742382271,0.795511221945137,0,0.758436944937833,0.915569326103795,0.951584507042254,0,0,0,0,0,0.219141914191419,0.374432677760968,0,0.572687224669604,0.269230769230769,0.237521514629948,0,0.460043196544276,0.54664914586071,0.0599221789883269,0,0,0,0.121160409556314,0.269645608628659,0.606575963718821,0.361216730038023,0,0.209935897435897,0.405594405594406,0.435747663551402,0.425501432664756,0.52636815920398,0,0.549295774647887,0.406511627906977,0,0,0.445859872611465,0.337465564738292,0.38,0.63953488372093,0.0016877637130801,0,0.45369284876905,0,0.247292418772563,0.100135317997294,0.1163012392755,0,0.620737647877523,0.700794351279788,0.0016666666666666,0.0679405520169851,0.0618729096989967,0.0050747863247863,0,0.0692853246044735,0,0.0649078726968174,0.0478981178857207,0,0,0,0.189106044154904,0.0177241202157719,0.0262600094206312,0.0009548058561425,0.0330188679245283,0,0.0688533477907292,0.0041872858774267,0.0299102691924227,0,0.11224750703145,0.049209586945436,0.056851137783088,0.0463072006416203,0.230994524385585,0.0271345875542692,0.0681103737338456,0.0485225505443235,0.0922761449077239,0.0841434435083171,0,0.182186234817814,0,0.0554803788903924,0.0765426283560999,0,0.129722921914358,0,0,0.0044952238246862,0.0802123267472722,0.0765005884660651,0.0397683726475347,0.0917442899068521,0,0.0482883916618856,0.0011055831951354,0,0.0712540716612378,0.0401702870865626,0.181105887620327
428,0.620576671035387,0.602777777777778,0.862694300518135,0,0.112994350282486,0.941772151898734,0.0024449877750611,0.149606299212598,0.607981220657277,0.851428571428571,0.260053619302949,0.727668845315904,0,0.0075187969924812,0.667582417582418,0,0.0637813211845103,0.186708860759494,0,0.868131868131868,0,0.673748056739633,0.263681592039801,0.534635879218472,0.009771986970684,0.75750300120048,0.905158069883527,0.0612244897959184,0.0268336314847943,0.906560636182903,0.401913875598086,0.181069958847737,0.582402234636871,0.10549154666101,0.154929577464789,0.0058309037900874,0.0294117647058824,0.381578947368421,0,0.701492537313433,0.357825567502987,0.50415512465374,0.0044543429844098,0.471048513302034,0.807339449541284,0.817647058823529,0,0.864825581395349,0,0,0,0,0.639393939393939,0,0,0.231578947368421,0.415094339622642,0.0088105726872246,0.568475452196382,0.471627906976744,0.29277566539924,0,0.494239631336406,0,0.0885964912280702,0,0,0,0,0,0.337748344370861,0.184859984370617,0,0.387951807228916,0,0,0.258555133079848,0.656063618290258,0.0590551181102362,0.516211329577565,0,0.0879484536040093,0,0.617391304347826,0.518337408312958,0.0514699575869047,0.0577850486126851,0.0194805194805195,0,0.423387096774194,0,0.37037037037037,0.0869565217391304,0.249315068493151,0.13373172305338,0,0,0,0,0.136363636363636,0,0,0.0343137254901961,0,0.143973214285714,0.0537566802892172,0.0015428183204783,0,0,0.092866676331377,0.0098522167487684,0.0097472924187725,0.0227525237022037,0.0739299610894942,0,0.179509255273353,0.0294511378848728,0,0.0131205705151008,0,0.0444361463778939,0.0583811379793045,0.0463072006416203,0.211724915445321,0.155205532078371,0.17843137254902,0.042031523642732,0,0,0,0.16622691292876,0,0.0405405405405405,0.0077145612343298,0,0.0968263382551411,0,0.0079966760057319,0.0100614868641699,0.001264755480607,0.0540360240160107,0.080424462440659,0.118025258323766,0,0.0706901369097513,0.0033898305084745,0,0.106041740697648,0.0960608154803041,0
630,0.42283356258597,0.327058823529412,0.730478589420655,0.0967741935483871,0.190866510538642,0.903041825095057,0.0093808630393996,0.0445151033386327,0,0.801526717557252,0.0810092961487384,0.724299065420561,0.267712719085525,0,0.0176991150442478,0.0132013201320132,0.294573643410853,0.173038229376258,0.0972222222222222,0.130841121495327,0.238095238095238,0.862903225806452,0.0472027972027972,0.0302245250431779,0.90125173852573,0,0.891402714932127,0.824610244988864,0.579326923076923,0.839662447257384,0.279491833030853,0.0924261874197689,0.108195660076286,0.0581162324649299,0.0168674698795181,0,0.937543372657876,0.401515151515151,0.0824175824175824,0.33248730964467,0.379144385026738,0.558615961819189,0.174148521323544,0.538053097345133,0.798342541436464,0.823204419889503,0.907372400756144,0.679347826086957,0,0,0,0,0.420382165605096,0.20338534955259,0,0.400280898876405,0.523680649526387,0.541586073500967,0.674744897959184,0.451010886469673,0.361702127659574,0.523255813953488,0.445723684210526,0,0.413658355042799,0,0,0.190815006468305,0.0807799442896936,0.0114503816793893,0.633451957295374,0.342507645259939,0,0.389031705227078,0.50613154960981,0.377777777777778,0.455377574370709,0.525879917184265,0.0822222222222222,0.665983606557377,0.50063371356147,0.121588089330025,0.440847784200385,0.583424209378408,0.517073170731707,0,0,0.647628267182962,0.723963599595551,0.483122362869198,0.586744639376218,0.37260677466863,0.110738255033557,0.230019493177388,0,0,0,0,0.0266272189349112,0.047808764940239,0,0,0.0400943396226415,0,0.0692534553416755,0.0039052965584574,0,0.0295851472084987,0,0.124841838886546,0.0048780487804878,0.0320606950562898,0.0184707903780069,0.0159489633173844,0.0615629984051037,0.0934423184098087,0.0088990592423086,0,0.0131205705151008,0.061921143159566,0.0720112517580872,0.0433319024919233,0.0480237994050149,0.15712005674765,0.0419727177334732,0.155381604696673,0.062200956937799,0.0267898755427284,0,0,0.191604938271605,0,0.0226757369614512,0.0954332552693208,0,0.118198198198198,0.0145233415995059,0.015470297029703,0.0401313389273988,0.054131683605833,0.0750232991612302,0.0826749954069447,0.139770554493308,0.242478786320391,0.0402969247083775,0.0046713380046713,0.104406510520048,0.0837796480489671,0.163858049167328,0
