ID,Phenotype
10000,54.5
100000,48.25
10001,49.5
10002,42.5
10003,57.667
10004,79
10005,67.25
10006,131.5
10007,61.25
10008,73
10009,77.75
10010,75.25
10011,65.25
10012,105.667
10013,100
10014,132
10015,51.25
10016,72
10017,76.5
10018,81.333
10019,42
1002,86.25
10020,48
10021,44
10022,45.25
10023,90
10024,43.25
10025,45.5
10026,49.5
1061,94.75
1062,68.25
1063,64.25
1074,90.75
108,52.25
1137,107.667
1158,88
1254,106
1257,93.25
1317,102
1318,123
1363,96
1367,88.75
139,52.75
1435,45.667
1552,115.333
1585,103.25
159,56.75
1829,99
1853,69.333
1872,82.5
1890,75.75
1925,89.5
1954,101
2016,69.75
2171,82.5
2202,96.5
2276,84.25
2278,85
2317,53.5
265,47.25
350,51.5
351,65.333
403,54.25
410,65.25
424,68.25
428,59
430,55
4779,50.25
4807,87.5
4826,51
4884,49.5
4900,50.25
4931,48
4958,100.25
5023,43.75
5104,40.75
5151,73.667
5165,81.75
5210,78
5236,43.5
5253,38
5276,49.75
5349,97.333
5353,62.5
5486,37.5
5506,132
5535,70.75
5577,51
5644,46.25
5720,63.333
5726,48
5741,88.5
5748,41.75
5757,66.667
5768,85
5772,49
5778,42.5
5779,67
5784,69.25
5800,39
5811,46
5818,40.333
5822,111
5829,53.667
5830,75.333
5831,93
5832,87.333
5835,43.5
5837,55.25
5865,101
5874,69.25
5890,55.25
5893,64.25
5907,48.5
5921,55.75
5950,65.5
5964,56.5
5984,41.75
5993,64.75
6008,43
6009,113.5
6011,112.5
6012,125
6013,93
6016,83.5
6017,104
6020,87.25
6021,87
6023,89.25
6024,116
6030,129
6034,80.5
6035,73.75
6036,86.333
6038,77.25
6039,62
6040,82.5
6041,51.5
6042,43
6043,130.667
6046,117
6064,129.5
6069,139
6070,119.333
6071,139.5
6073,96.5
6074,85.75
6076,110.5
6085,128
6086,100.75
6088,128
6090,105
6092,89.5
6094,92.667
6097,94
6098,105
6099,113.667
6100,108.333
6102,103.5
6104,109.5
6105,87.667
6106,94.75
6107,105.25
6108,52.75
6109,99
6111,93.667
6112,76.75
6114,92
6115,74.75
6118,99.25
6122,90
6124,106
6125,100
6126,89
6127,132.667
6128,113
6129,131
6131,137
6132,102.5
6133,91.75
6134,100.333
6136,84.5
6137,87.75
6138,90.75
6140,103.25
6142,107.5
6145,111.5
6148,105.667
6149,99
